Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
19,0.18,0.015366127833674168,0.026869910192359445,0.08386221285472781,0.05077085853003202,0.0330913543246958,0.06,103.0,0.43672,0.80582,0.012691826600524614,0.022857260937596848,0.07066943566020213,0.04317160154053966,0.02749783411966247,0.09,103.0,0.43672,0.92036,0.010001690640458165,0.01866643581436529,0.056648888776950256,0.0349550197043089,0.02169386907264135,0.13,103.0,0.43672,1.064,0.98
20,0.19,0.015162108838079119,0.026597850687974586,0.08289649200960679,0.050223069791397824,0.032673422218208965,0.06,103.0,0.43672,0.80707,0.012585803600252033,0.022659129027204482,0.07004459470909521,0.0427802868466708,0.027264307862424404,0.09,103.0,0.43672,0.91982,0.009883107953532748,0.01846371761744691,0.05597692545947539,0.034544572081042925,0.021432353378432467,0.13,103.0,0.43672,1.0622,0.98
21,0.2,0.015047749427394144,0.026424490718545975,0.08232301079631003,0.04989246534743276,0.032430545448877274,0.06,103.0,0.43672,0.8091,0.012497051072724632,0.022491533198263455,0.0695329703208671,0.04245555846861474,0.027077411852252365,0.09,103.0,0.43672,0.91941,0.009719264947679154,0.018242351127742286,0.0552412317585978,0.03413062144585667,0.021110610312741127,0.13,103.0,0.43672,1.0598,0.98
22,0.21,0.014920569072599015,0.026258207453194064,0.08174881889653025,0.04957858162547743,0.0321702372710528,0.06,103.0,0.43672,0.80683,0.012312285880202382,0.022258532574693752,0.06869726554406091,0.04200460711265591,0.026692658431405003,0.09,103.0,0.43672,0.92161,0.009620763054512618,0.01804809570555139,0.054609542461172,0.03374143830581676,0.020868104155355244,0.13,103.0,0.43672,1.0619,0.98
23,0.22,0.014716627309254996,0.025978404837131038,0.0807904268995385,0.049032673832394916,0.03175775306714359,0.06,103.0,0.43672,0.80725,0.012176407386189874,0.02206988905444553,0.06805459771677919,0.04163909553925559,0.026415502177523604,0.09,103.0,0.43672,0.9237,0.00950493164743913,0.017861100213982184,0.0540083039585612,0.03337929884011764,0.020629005118443573,0.13,103.0,0.43672,1.0612,0.98
24,0.23,0.014562387595164285,0.025822264713912378,0.0801530026654056,0.04871493596718022,0.03143806669822539,0.06,103.0,0.43672,0.80958,0.01207511552932473,0.02190279333059789,0.0674703037264483,0.041298039064557285,0.02617226466189102,0.09,103.0,0.43672,0.92418,0.00938014466482177,0.017680148931532417,0.053402635662004636,0.03303011705369605,0.02037251860830859,0.13,103.0,0.43672,1.0624,0.98
25,0.24,0.014387559265512747,0.025583132170633124,0.07932878163255982,0.04824633293843692,0.0310824486941229,0.06,103.0,0.43672,0.81232,0.01192725056848175,0.02167600917545454,0.06672747518303632,0.04086225343507924,0.02586522174795709,0.09,103.0,0.43672,0.92621,0.00925917661917514,0.017502604458943416,0.05277972180377659,0.03267603886520653,0.020103682938570063,0.13,103.0,0.43672,1.0599,0.98
26,0.25,0.014328429609948677,0.02541996370177453,0.0788648394118216,0.04792555006854931,0.03093928934327228,0.06,103.0,0.43672,0.81585,0.01175801371456191,0.021454728044877962,0.06593216219264081,0.040425623536065707,0.025506538656575088,0.09,103.0,0.43672,0.92562,0.009165695175933488,0.017334761945008697,0.05229381090229451,0.03237370343888479,0.01992010746340972,0.13,103.0,0.43672,1.0603,0.98
27,0.26,0.014077158067858874,0.02516276523574951,0.07783800033207128,0.04740954318113913,0.030428457150932144,0.06,103.0,0.43672,0.81717,0.011641643286837025,0.02125990458938164,0.06534832156217368,0.04006371720125133,0.025284604360922343,0.09,103.0,0.43672,0.92467,0.009037821590500891,0.017139263236071445,0.05164638137500806,0.03200219677086886,0.019644184604139203,0.13,103.0,0.43672,1.0622,0.98
28,0.27,0.013986111240895646,0.024991569286008264,0.07730802678006572,0.047077866231858743,0.030230160548206986,0.06,103.0,0.43672,0.81991,0.011494681920956127,0.021057478572277917,0.06462313259762992,0.03966301155494819,0.024960121042681714,0.09,103.0,0.43672,0.92837,0.00891843170322371,0.016950637982890183,0.05103260408235274,0.031637028583769024,0.019395575498583718,0.13,103.0,0.43672,1.0648,0.98
29,0.28,0.013792064471381467,0.02474865302739258,0.07645690391119223,0.04662330691562649,0.029833596995565727,0.06,103.0,0.43672,0.81818,0.011388382658490893,0.020884292972428584,0.06410722573675216,0.039354607099708526,0.024752618637043644,0.09,103.0,0.43672,0.9289,0.008815493641444874,0.016760413118585823,0.05044674962177633,0.031281185705054206,0.019165563916722125,0.13,103.0,0.43672,1.0654,0.98
