Wavelength (nm),P-Polarized,S-Polarized
472,28.75188065,46.80910492
473,28.64975357,46.60743332
474,28.58729744,46.48102951
475,28.56139755,46.40964127
476,28.57325363,46.41570282
477,28.62779999,46.44308853
478,28.72769928,46.57842636
479,28.84373283,46.76154709
480,28.99927139,47.00911713
481,29.19316673,47.2742691
482,29.43452263,47.64419937
483,29.6945343,48.0474472
484,29.98620033,48.48091888
485,30.31123924,49.01200104
486,30.67725945,49.55634308
487,31.05945206,50.16761017
488,31.47443199,50.82681656
489,31.90155029,51.49674225
490,32.36835861,52.23687744
491,32.84489059,52.97911835
492,33.33332825,53.75424194
493,33.83803558,54.55492783
494,34.35577011,55.36273575
495,34.86762619,56.16133881
496,35.38446808,56.94904327
497,35.8940506,57.74528503
498,36.39686966,58.51950836
499,36.87086487,59.25856781
500,37.33298492,59.94569778
501,37.76316833,60.59200668
502,38.14591217,61.1390419
503,38.50333405,61.66119003
504,38.80085754,62.05505753
505,39.04289246,62.3921051
506,39.23400879,62.62585449
507,39.35544586,62.75458527
508,39.4144516,62.7711792
509,39.40021133,62.67225647
510,39.30581665,62.42865372
511,39.14286804,62.10660172
512,38.9082489,61.6471405
513,38.60211182,61.09490967
514,38.2443161,60.43785095
515,37.79687881,59.65114975
516,37.29531479,58.78704834
517,36.74069595,57.81878281
518,36.13874435,56.81322861
519,35.50042343,55.71762848
520,34.81300735,54.57648468
521,34.10675049,53.37979889
522,33.37625885,52.16601944
523,32.62800217,50.9162178
524,31.86860466,49.64123154
525,31.10233879,48.37586975
526,30.35017014,47.12018204
527,29.58799553,45.85016632
528,28.8315258,44.58922195
529,28.09711075,43.35396576
530,27.37829018,42.17206192
531,26.66741371,40.98554611
532,25.99232864,39.83539963
533,25.33430481,38.72686768
534,24.70199585,37.64823151
535,24.07832336,36.6163063
536,23.49446106,35.59963608
537,22.93315315,34.66026306
538,22.39479256,33.73138428
539,21.88300705,32.84935379
540,21.38973999,32.00491333
541,20.92832375,31.20734406
542,20.49036407,30.44169617
543,20.06917381,29.72431183
544,19.66820526,29.00393677
545,19.29788208,28.37488556
546,18.94388771,27.74898911
547,18.60549927,27.15821266
548,18.28524017,26.59451103
549,17.99465942,26.06251144
550,17.71152687,25.58510971
551,17.46191597,25.12299347
552,17.21783257,24.67599297
553,16.98957062,24.27987671
554,16.77851295,23.87618256
555,16.58275795,23.50173378
556,16.39657593,23.18267441
557,16.22561455,22.86521339
558,16.07398987,22.55874634
559,15.92643547,22.29581833
560,15.79712677,22.03540421
561,15.6754818,21.80717659
562,15.56581306,21.5921154
563,15.47870159,21.40244102
564,15.38938713,21.1987896
565,15.31148815,21.03121567
566,15.24362278,20.89074326
567,15.18853474,20.75655556
568,15.13721085,20.62465477
569,15.10762691,20.53358459
570,15.07639027,20.44169807
571,15.05829716,20.35501099
572,15.05330944,20.30197716
573,15.0447607,20.23943138
574,15.05998707,20.22069168
575,15.07857704,20.1942482
576,15.10338211,20.18036461
577,15.13628197,20.17162704
578,15.1753788,20.17827988
579,15.22596741,20.18768883
580,15.27901554,20.24033737
581,15.34523487,20.27663994
582,15.42132092,20.34104919
583,15.49805832,20.39892006
584,15.58054066,20.47279549
585,15.67407513,20.56163025
586,15.77019405,20.64089966
587,15.87777138,20.75615692
588,15.98799801,20.86333656
589,16.10935211,21.00221634
590,16.23733521,21.13503456
591,16.36916351,21.26298141
592,16.51027298,21.41602707
593,16.6562767,21.58509827
594,16.80624771,21.74761963
595,16.96398926,21.91379738
596,17.13425446,22.12403488
597,17.30574608,22.30122566
