,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
68,0.67,0.0060636,0.0096413,0.031214,0.018331,0.012883,0.12,350.0,0.735,0.0047809,0.0077933,0.024954,0.014769,0.010184,0.15,350.0,0.735,0.002788,0.0050207,0.015418,0.0094066,0.0060116,0.25,350.0,0.735,0.99
69,0.68,0.0059667,0.0095073,0.030755,0.018073,0.012682,0.12,350.0,0.735,0.0047017,0.007677,0.024566,0.014547,0.010018,0.15,350.0,0.735,0.0027334,0.0049279,0.015127,0.0092321,0.0058951,0.25,350.0,0.735,0.99
70,0.69,0.0058707,0.0093747,0.030301,0.017818,0.012483,0.12,350.0,0.735,0.0046235,0.0075622,0.024182,0.014328,0.0098546,0.15,350.0,0.735,0.0026796,0.0048367,0.014841,0.0090605,0.0057805,0.25,350.0,0.735,0.99
71,0.7,0.0057756,0.0092435,0.029851,0.017566,0.012285,0.12,350.0,0.735,0.0045461,0.0074489,0.023804,0.014111,0.0096928,0.15,350.0,0.735,0.0026268,0.0047471,0.01456,0.008892,0.0056678,0.25,350.0,0.735,0.99
72,0.71,0.0056814,0.0091138,0.029406,0.017316,0.01209,0.12,350.0,0.735,0.0044697,0.007337,0.02343,0.013897,0.0095329,0.15,350.0,0.735,0.0025748,0.0046591,0.014283,0.0087264,0.005557,0.25,350.0,0.735,0.99
73,0.72,0.0055881,0.0089855,0.028966,0.017069,0.011896,0.12,350.0,0.735,0.0043941,0.0072265,0.023061,0.013686,0.0093748,0.15,350.0,0.735,0.0025237,0.0045726,0.014012,0.0085636,0.005448,0.25,350.0,0.735,0.99
74,0.73,0.0054957,0.0088586,0.02853,0.016825,0.011705,0.12,350.0,0.735,0.0043193,0.0071175,0.022696,0.013478,0.0092185,0.15,350.0,0.735,0.0024734,0.0044876,0.013745,0.0084037,0.0053408,0.25,350.0,0.735,0.99
75,0.74,0.0054041,0.008733,0.028098,0.016583,0.011515,0.12,350.0,0.735,0.0042454,0.0070098,0.022336,0.013272,0.009064,0.15,350.0,0.735,0.0024239,0.0044041,0.013482,0.0082465,0.0052354,0.25,350.0,0.735,0.99
76,0.75,0.0053134,0.0086088,0.027671,0.016344,0.011327,0.12,350.0,0.735,0.0041723,0.0069035,0.02198,0.013069,0.0089113,0.15,350.0,0.735,0.0023752,0.0043221,0.013224,0.0080921,0.0051317,0.25,350.0,0.735,0.99
77,0.76,0.0052234,0.0084859,0.027248,0.016108,0.01114,0.12,350.0,0.735,0.0041001,0.0067985,0.021628,0.012868,0.0087603,0.15,350.0,0.735,0.0023273,0.0042414,0.01297,0.0079403,0.0050297,0.25,350.0,0.735,0.99
78,0.77,0.0051343,0.0083644,0.026829,0.015874,0.010955,0.12,350.0,0.735,0.0040286,0.0066949,0.02128,0.01267,0.008611,0.15,350.0,0.735,0.0022802,0.0041622,0.01272,0.007791,0.0049293,0.25,350.0,0.735,0.99
79,0.78,0.005046,0.0082441,0.026414,0.015642,0.010772,0.12,350.0,0.735,0.0039579,0.0065925,0.020937,0.012474,0.0084633,0.15,350.0,0.735,0.0022338,0.0040843,0.012475,0.0076444,0.0048305,0.25,350.0,0.735,0.99
80,0.79,0.0049584,0.0081251,0.026004,0.015413,0.010591,0.12,350.0,0.735,0.0038879,0.0064915,0.020598,0.01228,0.0083173,0.15,350.0,0.735,0.0021881,0.0040078,0.012234,0.0075003,0.0047333,0.25,350.0,0.735,0.99
