,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
192,1.9100000000000001,9.1207e-05,0.0031901,0.0047141,0.0044588,0.00025529,1.1,7.5,0.04815,0.00032633,0.0066431,0.01057,0.009705,0.00086547,0.75,7.5,0.04815,0.00015696,0.0041051,0.0063016,0.0058749,0.00042668,0.9,7.5,0.04815
193,1.92,9.0092e-05,0.0031376,0.0046355,0.0043839,0.00025153,1.1,7.5,0.04815,0.00032388,0.0065619,0.01044,0.0095834,0.0008569,0.75,7.5,0.04815,0.00015549,0.0040473,0.0062119,0.0057903,0.00042159,0.9,7.5,0.04815
194,1.93,8.9005e-05,0.003086,0.0045582,0.0043103,0.00024785,1.1,7.5,0.04815,0.0003215,0.0064817,0.010312,0.0094634,0.00084849,0.75,7.5,0.04815,0.00015405,0.0039904,0.0061236,0.0057071,0.0004166,0.9,7.5,0.04815
195,1.94,8.7946e-05,0.0030352,0.0044823,0.0042381,0.00024424,1.1,7.5,0.04815,0.00031916,0.0064025,0.010185,0.009345,0.00084023,0.75,7.5,0.04815,0.00015264,0.0039343,0.0060367,0.005625,0.0004117,0.9,7.5,0.04815
196,1.95,8.6913e-05,0.0029853,0.0044077,0.004167,0.00024072,1.1,7.5,0.04815,0.00031688,0.0063244,0.01006,0.0092281,0.00083212,0.75,7.5,0.04815,0.00015128,0.003879,0.0059511,0.0055442,0.00040691,0.9,7.5,0.04815
197,1.96,8.5907e-05,0.0029362,0.0043345,0.0040972,0.00023728,1.1,7.5,0.04815,0.00031466,0.0062471,0.009937,0.0091129,0.00082417,0.75,7.5,0.04815,0.00014994,0.0038245,0.0058669,0.0054647,0.00040221,0.9,7.5,0.04815
198,1.97,8.4926e-05,0.0028879,0.0042625,0.0040286,0.0002339,1.1,7.5,0.04815,0.00031249,0.0061709,0.0098154,0.0089991,0.00081636,0.75,7.5,0.04815,0.00014864,0.0037707,0.0057839,0.0053863,0.0003976,0.9,7.5,0.04815
199,1.98,8.3972e-05,0.0028405,0.0041918,0.0039612,0.0002306,1.1,7.5,0.04815,0.00031037,0.0060956,0.0096955,0.0088868,0.0008087,0.75,7.5,0.04815,0.00014737,0.0037178,0.0057022,0.0053091,0.00039309,0.9,7.5,0.04815
200,1.99,8.3043e-05,0.0027938,0.0041224,0.003895,0.00022738,1.1,7.5,0.04815,0.00030831,0.0060213,0.0095772,0.008776,0.00080118,0.75,7.5,0.04815,0.00014614,0.0036656,0.0056217,0.005233,0.00038866,0.9,7.5,0.04815
201,2.0,8.2139e-05,0.0027479,0.0040541,0.0038299,0.00022423,1.1,7.5,0.04815,0.00030629,0.0059479,0.0094605,0.0086667,0.00079381,0.75,7.5,0.04815,0.00014493,0.0036142,0.0055424,0.0051581,0.00038434,0.9,7.5,0.04815
202,2.0100000000000002,8.126e-05,0.0027028,0.0039871,0.0037659,0.00022114,1.1,7.5,0.04815,0.00030433,0.0058755,0.0093454,0.0085588,0.00078658,0.75,7.5,0.04815,0.00014376,0.0035635,0.0054644,0.0050843,0.0003801,0.9,7.5,0.04815
203,2.02,8.0406e-05,0.0026585,0.0039212,0.0037031,0.00021813,1.1,7.5,0.04815,0.00030242,0.0058039,0.0092318,0.0084523,0.00077949,0.75,7.5,0.04815,0.00014262,0.0035135,0.0053876,0.0050116,0.00037594,0.9,7.5,0.04815
204,2.0300000000000002,7.9575e-05,0.0026149,0.0038565,0.0036413,0.00021518,1.1,7.5,0.04815,0.00030057,0.0057332,0.0091198,0.0083472,0.00077254,0.75,7.5,0.04815,0.00014152,0.0034643,0.0053119,0.00494,0.00037188,0.9,7.5,0.04815
205,2.04,7.8769e-05,0.002572,0.0037929,0.0035806,0.0002123,1.1,7.5,0.04815,0.00029876,0.0056635,0.0090092,0.0082435,0.00076572,0.75,7.5,0.04815,0.00014044,0.0034158,0.0052374,0.0048695,0.0003679,0.9,7.5,0.04815
206,2.05,7.7987e-05,0.0025299,0.0037305,0.003521,0.00020949,1.1,7.5,0.04815,0.000297,0.0055945,0.0089002,0.0081412,0.00075904,0.75,7.5,0.04815,0.0001394,0.0033679,0.005164,0.0048,0.00036401,0.9,7.5,0.04815
