,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
60,0.59,0.020946,0.032353,0.10636,0.061869,0.044488,0.043,350.0,0.735,0.016615,0.026504,0.085943,0.050504,0.035439,0.065,350.0,0.735,0.010212,0.017833,0.055704,0.033653,0.02205,0.133,350.0,0.735
61,0.6,0.020605,0.031966,0.10491,0.061109,0.043797,0.043,350.0,0.735,0.016326,0.026159,0.084682,0.049831,0.03485,0.065,350.0,0.735,0.010002,0.01755,0.054723,0.033107,0.021616,0.133,350.0,0.735
62,0.61,0.020265,0.031582,0.10346,0.060352,0.043108,0.043,350.0,0.735,0.016039,0.025818,0.083427,0.049163,0.034264,0.065,350.0,0.735,0.0097936,0.017269,0.053752,0.032567,0.021185,0.133,350.0,0.735
63,0.62,0.019927,0.031199,0.10202,0.059598,0.042421,0.043,350.0,0.735,0.015753,0.025478,0.082179,0.048498,0.033682,0.065,350.0,0.735,0.009587,0.016992,0.05279,0.032032,0.020758,0.133,350.0,0.735
64,0.63,0.019589,0.030818,0.10059,0.058848,0.041737,0.043,350.0,0.735,0.015468,0.02514,0.080938,0.047837,0.033101,0.065,350.0,0.735,0.009382,0.016717,0.051838,0.031503,0.020335,0.133,350.0,0.735
65,0.64,0.019253,0.030438,0.099156,0.058101,0.041055,0.043,350.0,0.735,0.015184,0.024804,0.079704,0.04718,0.032524,0.065,350.0,0.735,0.0091786,0.016446,0.050894,0.030979,0.019915,0.133,350.0,0.735
66,0.65,0.018917,0.03006,0.097732,0.057357,0.040376,0.043,350.0,0.735,0.014902,0.024471,0.078476,0.046527,0.031949,0.065,350.0,0.735,0.0089767,0.016177,0.049958,0.03046,0.019498,0.133,350.0,0.735
67,0.66,0.018582,0.029684,0.096314,0.056616,0.039698,0.043,350.0,0.735,0.014621,0.024139,0.077255,0.045878,0.031377,0.065,350.0,0.735,0.0087764,0.015911,0.049031,0.029947,0.019085,0.133,350.0,0.735
68,0.67,0.018249,0.02931,0.094901,0.055878,0.039023,0.043,350.0,0.735,0.014341,0.02381,0.07604,0.045233,0.030807,0.065,350.0,0.735,0.0085775,0.015647,0.048113,0.029439,0.018674,0.133,350.0,0.735
69,0.68,0.017917,0.028937,0.093492,0.055143,0.038349,0.043,350.0,0.735,0.014063,0.023482,0.074831,0.044591,0.03024,0.065,350.0,0.735,0.0083802,0.015386,0.047202,0.028935,0.018267,0.133,350.0,0.735
70,0.6900000000000001,0.017585,0.028565,0.092089,0.054411,0.037678,0.043,350.0,0.735,0.013785,0.023156,0.073629,0.043953,0.029675,0.065,350.0,0.735,0.0081842,0.015128,0.0463,0.028437,0.017863,0.133,350.0,0.735
