,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
110,1.09,0.0018044,0.0076529,0.017857,0.013403,0.0044547,0.19,40.0,0.084,0.61206,0.99
111,1.1,0.0017915,0.0076062,0.017736,0.013313,0.0044228,0.19,40.0,0.084,0.60777,0.99
112,1.11,0.0017787,0.0075598,0.017616,0.013225,0.0043913,0.19,40.0,0.084,0.61194,0.99
113,1.12,0.0017661,0.0075138,0.017497,0.013137,0.0043601,0.19,40.0,0.084,0.60729,0.99
114,1.13,0.0017535,0.0074681,0.01738,0.013051,0.0043293,0.19,40.0,0.084,0.61158,0.99
115,1.14,0.0017411,0.0074228,0.017264,0.012965,0.0042988,0.19,40.0,0.084,0.60812,0.99
116,1.15,0.0017287,0.0073777,0.01715,0.012881,0.0042687,0.19,40.0,0.084,0.61033,0.99
117,1.16,0.0017165,0.007333,0.017036,0.012797,0.0042388,0.19,40.0,0.084,0.60783,0.99
118,1.17,0.0017043,0.0072886,0.016924,0.012714,0.0042093,0.19,40.0,0.084,0.60568,0.99
119,1.18,0.0016923,0.0072445,0.016812,0.012632,0.00418,0.19,40.0,0.084,0.60633,0.99
120,1.19,0.0016803,0.0072007,0.016702,0.012551,0.004151,0.19,40.0,0.084,0.60628,0.99
121,1.2,0.0016685,0.0071572,0.016593,0.012471,0.0041223,0.19,40.0,0.084,0.6061,0.99
122,1.21,0.0016567,0.007114,0.016485,0.012391,0.0040938,0.19,40.0,0.084,0.6055,0.99
123,1.22,0.001645,0.0070711,0.016378,0.012312,0.0040656,0.19,40.0,0.084,0.60305,0.99
124,1.23,0.0016334,0.0070285,0.016271,0.012234,0.0040377,0.19,40.0,0.084,0.60472,0.99
125,1.24,0.0016218,0.0069861,0.016166,0.012156,0.0040099,0.19,40.0,0.084,0.6024,0.99
126,1.25,0.0016104,0.0069441,0.016062,0.012079,0.0039824,0.19,40.0,0.084,0.60276,0.99
127,1.26,0.001599,0.0069023,0.015958,0.012003,0.0039552,0.19,40.0,0.084,0.60341,0.99
128,1.27,0.0015877,0.0068608,0.015855,0.011927,0.0039282,0.19,40.0,0.084,0.60455,0.99
129,1.28,0.0015765,0.0068195,0.015754,0.011852,0.0039013,0.19,40.0,0.084,0.60186,0.99
130,1.29,0.0015654,0.0067786,0.015653,0.011778,0.0038748,0.19,40.0,0.084,0.60401,0.99
131,1.3,0.0015543,0.0067378,0.015552,0.011704,0.0038484,0.19,40.0,0.084,0.60246,0.99
132,1.31,0.0015433,0.0066974,0.015453,0.011631,0.0038222,0.19,40.0,0.084,0.60431,0.99
133,1.32,0.0015324,0.0066572,0.015354,0.011558,0.0037963,0.19,40.0,0.084,0.60127,0.99
134,1.33,0.0015216,0.0066173,0.015256,0.011486,0.0037705,0.19,40.0,0.084,0.60103,0.99
135,1.34,0.0015108,0.0065776,0.015159,0.011414,0.003745,0.19,40.0,0.084,0.5993,0.99
136,1.35,0.0015001,0.0065382,0.015063,0.011343,0.0037196,0.19,40.0,0.084,0.60091,0.99
137,1.36,0.0014895,0.0064991,0.014967,0.011273,0.0036945,0.19,40.0,0.084,0.59942,0.99
138,1.37,0.0014789,0.0064602,0.014872,0.011203,0.0036695,0.19,40.0,0.084,0.59852,0.99
139,1.38,0.0014684,0.0064215,0.014778,0.011134,0.0036447,0.19,40.0,0.084,0.60001,0.99
140,1.39,0.001458,0.0063831,0.014685,0.011065,0.0036202,0.19,40.0,0.084,0.59858,0.99
141,1.4,0.0014476,0.0063449,0.014592,0.010996,0.0035958,0.19,40.0,0.084,0.59971,0.99
142,1.41,0.0014373,0.006307,0.0145,0.010928,0.0035716,0.19,40.0,0.084,0.59918,0.99
143,1.42,0.0014271,0.0062693,0.014409,0.010861,0.0035476,0.19,40.0,0.084,0.59995,0.99
144,1.43,0.0014169,0.0062318,0.014318,0.010794,0.0035238,0.19,40.0,0.084,0.59793,0.99
145,1.44,0.0014068,0.0061946,0.014228,0.010728,0.0035002,0.19,40.0,0.084,0.60007,0.99
146,1.45,0.0013968,0.0061576,0.014138,0.010662,0.0034767,0.19,40.0,0.084,0.5993,0.99
147,1.46,0.0013868,0.0061209,0.01405,0.010596,0.0034534,0.19,40.0,0.084,0.59966,0.99
148,1.47,0.0013769,0.0060843,0.013962,0.010531,0.0034304,0.19,40.0,0.084,0.59834,0.99
149,1.48,0.0013671,0.0060481,0.013874,0.010467,0.0034074,0.19,40.0,0.084,0.59709,0.99
150,1.49,0.0013573,0.006012,0.013787,0.010403,0.0033847,0.19,40.0,0.084,0.59983,0.99
151,1.5,0.0013475,0.0059762,0.013701,0.010339,0.0033622,0.19,40.0,0.084,0.59912,0.99
152,1.51,0.0013379,0.0059405,0.013616,0.010276,0.0033399,0.19,40.0,0.084,0.59822,0.99
153,1.52,0.0013283,0.0059051,0.013531,0.010213,0.0033177,0.19,40.0,0.084,0.59751,0.99
154,1.53,0.0013187,0.00587,0.013447,0.010151,0.0032957,0.19,40.0,0.084,0.59727,0.99
155,1.54,0.0013092,0.005835,0.013363,0.010089,0.0032739,0.19,40.0,0.084,0.59822,0.99
156,1.55,0.0012998,0.0058003,0.01328,0.010028,0.0032523,0.19,40.0,0.084,0.59673,0.99
157,1.56,0.0012904,0.0057657,0.013198,0.0099668,0.0032309,0.19,40.0,0.084,0.59775,0.99
158,1.57,0.0012811,0.0057314,0.013116,0.0099062,0.0032097,0.19,40.0,0.084,0.5987,0.99
159,1.58,0.0012719,0.0056974,0.013035,0.0098461,0.0031887,0.19,40.0,0.084,0.59679,0.99
160,1.59,0.0012627,0.0056635,0.012954,0.0097864,0.0031678,0.19,40.0,0.084,0.59411,0.99
161,1.6,0.0012536,0.0056298,0.012874,0.0097272,0.0031472,0.19,40.0,0.084,0.59512,0.99
162,1.61,0.0012445,0.0055964,0.012795,0.0096683,0.0031268,0.19,40.0,0.084,0.59697,0.99
163,1.62,0.0012355,0.0055631,0.012716,0.0096099,0.0031065,0.19,40.0,0.084,0.59554,0.99
164,1.63,0.0012265,0.0055301,0.012638,0.0095518,0.0030865,0.19,40.0,0.084,0.59482,0.99
165,1.64,0.0012176,0.0054972,0.012561,0.0094942,0.0030668,0.19,40.0,0.084,0.59554,0.99
166,1.65,0.0012088,0.0054646,0.012484,0.009437,0.0030472,0.19,40.0,0.084,0.59369,0.99
167,1.66,0.0012,0.0054322,0.012408,0.0093802,0.0030279,0.19,40.0,0.084,0.5959,0.99
168,1.67,0.0011913,0.0054,0.012333,0.0093239,0.0030089,0.19,40.0,0.084,0.59596,0.99
169,1.68,0.0011827,0.005368,0.012258,0.0092679,0.0029901,0.19,40.0,0.084,0.59411,0.99
170,1.69,0.0011741,0.0053362,0.012184,0.0092124,0.0029716,0.19,40.0,0.084,0.59321,0.99
171,1.7,0.0011656,0.0053046,0.012111,0.0091573,0.0029534,0.19,40.0,0.084,0.59614,0.99
172,1.71,0.0011572,0.0052732,0.012038,0.0091026,0.0029355,0.19,40.0,0.084,0.59268,0.99
173,1.72,0.0011488,0.005242,0.011966,0.0090484,0.0029179,0.19,40.0,0.084,0.59089,0.99
174,1.73,0.0011405,0.0052111,0.011895,0.0089945,0.0029008,0.19,40.0,0.084,0.59339,0.99
175,1.74,0.0011322,0.0051803,0.011825,0.0089412,0.0028841,0.19,40.0,0.084,0.59232,0.99
176,1.75,0.0011241,0.0051497,0.011756,0.0088883,0.0028678,0.19,40.0,0.084,0.59244,0.99
177,1.76,0.001116,0.0051194,0.011688,0.008836,0.0028522,0.19,40.0,0.084,0.59292,0.99
178,1.77,0.001108,0.0050893,0.011621,0.0087841,0.0028371,0.19,40.0,0.084,0.59244,0.99
179,1.78,0.0011001,0.0050594,0.011556,0.0087328,0.002823,0.19,40.0,0.084,0.58922,0.99
180,1.79,0.0010923,0.0050297,0.011492,0.0086822,0.0028101,0.19,40.0,0.084,0.58683,0.99
181,1.8,0.0010842,0.0049993,0.011434,0.0086333,0.0028005,0.27,100.0,0.21,1.1081,0.99
182,1.81,0.0010593,0.0049437,0.011303,0.0085529,0.0027502,0.27,100.0,0.21,1.1263,0.99
183,1.82,0.0010341,0.0048881,0.011163,0.0084654,0.0026973,0.27,100.0,0.21,1.1361,0.99
184,1.83,0.0010087,0.0048328,0.011019,0.0083756,0.0026434,0.27,100.0,0.21,1.1428,0.99
185,1.84,0.00098327,0.0047778,0.010873,0.0082843,0.0025887,0.27,100.0,0.21,1.1481,0.99
186,1.85,0.00095774,0.0047231,0.010726,0.0081923,0.0025335,0.27,100.0,0.21,1.1543,0.99
187,1.86,0.00093216,0.0046688,0.010578,0.0080999,0.0024779,0.27,100.0,0.21,1.1626,0.99
188,1.87,0.00090655,0.0046148,0.010429,0.0080072,0.0024219,0.27,100.0,0.21,1.1656,0.99
189,1.88,0.0008809,0.0045612,0.01028,0.0079145,0.0023655,0.27,100.0,0.21,1.1702,0.99
190,1.89,0.00085523,0.004508,0.010131,0.0078219,0.0023088,0.27,100.0,0.21,1.1771,0.99
191,1.9,0.00082953,0.0044552,0.0099812,0.0077294,0.0022518,0.27,100.0,0.21,1.1845,0.99
