,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
87,0.86,0.0037601,0.0073852,0.022086,0.013795,0.0082911,0.11,80.0,0.5136,0.0028535,0.0058316,0.017162,0.010843,0.0063189,0.15,80.0,0.5136,0.00165,0.003713,0.010551,0.006842,0.0037095,0.2,80.0,0.5136
88,0.87,0.0036966,0.0072976,0.021785,0.013626,0.008159,0.11,80.0,0.5136,0.0028033,0.0057559,0.016911,0.010698,0.0062131,0.15,80.0,0.5136,0.0016162,0.0036583,0.010375,0.0067377,0.0036374,0.2,80.0,0.5136
89,0.88,0.0036336,0.0072107,0.021486,0.013458,0.0080277,0.11,80.0,0.5136,0.0027536,0.005681,0.016662,0.010554,0.0061081,0.15,80.0,0.5136,0.0015826,0.0036042,0.010201,0.0066348,0.0035658,0.2,80.0,0.5136
90,0.89,0.0035708,0.0071245,0.021189,0.013292,0.007897,0.11,80.0,0.5136,0.0027041,0.0056067,0.016415,0.010411,0.0060038,0.15,80.0,0.5136,0.0015494,0.0035507,0.010028,0.0065331,0.0034948,0.2,80.0,0.5136
91,0.9,0.0035084,0.0070389,0.020894,0.013127,0.007767,0.11,80.0,0.5136,0.0026551,0.0055332,0.016171,0.010271,0.0059003,0.15,80.0,0.5136,0.0015164,0.0034978,0.009857,0.0064326,0.0034243,0.2,80.0,0.5136
92,0.91,0.0034463,0.006954,0.020601,0.012963,0.0076376,0.11,80.0,0.5136,0.0026064,0.0054604,0.015929,0.010131,0.0057975,0.15,80.0,0.5136,0.0014836,0.0034455,0.0096875,0.0063333,0.0033542,0.2,80.0,0.5136
93,0.92,0.0033845,0.0068697,0.020309,0.012801,0.0075087,0.11,80.0,0.5136,0.002558,0.0053883,0.015688,0.0099931,0.0056953,0.15,80.0,0.5136,0.0014511,0.0033938,0.0095195,0.006235,0.0032845,0.2,80.0,0.5136
94,0.93,0.0033229,0.0067859,0.020019,0.012639,0.0073803,0.11,80.0,0.5136,0.0025099,0.0053169,0.01545,0.0098563,0.0055936,0.15,80.0,0.5136,0.0014188,0.0033426,0.0093528,0.0061378,0.0032151,0.2,80.0,0.5136
95,0.9400000000000001,0.0032617,0.0067028,0.019731,0.012479,0.0072523,0.11,80.0,0.5136,0.0024621,0.0052461,0.015213,0.0097208,0.0054923,0.15,80.0,0.5136,0.0013866,0.0032919,0.0091873,0.0060415,0.0031458,0.2,80.0,0.5136
96,0.9500000000000001,0.0032007,0.0066203,0.019444,0.012319,0.0071246,0.11,80.0,0.5136,0.0024145,0.0051759,0.014978,0.0095864,0.0053914,0.15,80.0,0.5136,0.0013547,0.0032417,0.0090226,0.005946,0.0030766,0.2,80.0,0.5136
97,0.96,0.0031399,0.0065383,0.019158,0.012161,0.0069971,0.11,80.0,0.5136,0.0023672,0.0051063,0.014744,0.0094531,0.0052907,0.15,80.0,0.5136,0.0013229,0.003192,0.0088587,0.0058514,0.0030072,0.2,80.0,0.5136
98,0.97,0.0030793,0.0064568,0.018873,0.012004,0.0068695,0.11,80.0,0.5136,0.0023202,0.0050373,0.014511,0.0093208,0.0051899,0.15,80.0,0.5136,0.0012912,0.0031428,0.0086949,0.0057574,0.0029375,0.2,80.0,0.5136
99,0.98,0.0030189,0.0063758,0.018588,0.011847,0.0067416,0.11,80.0,0.5136,0.0022733,0.0049688,0.014278,0.0091892,0.0050886,0.15,80.0,0.5136,0.0012596,0.003094,0.0085307,0.0056639,0.0028668,0.2,80.0,0.5136
100,0.99,0.0029587,0.0062952,0.018303,0.01169,0.0066124,0.11,80.0,0.5136,0.0022265,0.0049008,0.014044,0.0090581,0.004986,0.15,80.0,0.5136,0.0012279,0.0030454,0.0083646,0.0055704,0.0027942,0.2,80.0,0.5136
101,1.0,0.0028987,0.0062153,0.018014,0.011534,0.0064795,0.1,71.0,0.45582,0.00218,0.0048333,0.013805,0.0089265,0.0048789,0.15,71.0,0.45582,0.0011964,0.0029971,0.0081911,0.0054753,0.0027159,0.25,71.0,0.45582
102,1.01,0.0028644,0.0061631,0.017837,0.011431,0.0064064,0.1,71.0,0.30104,0.0021545,0.0047873,0.013657,0.0088342,0.004823,0.15,71.0,0.30104,0.0011807,0.002961,0.0080797,0.0054006,0.0026791,0.25,71.0,0.30104
103,1.02,0.0028304,0.0061114,0.017664,0.01133,0.0063344,0.1,71.0,0.30104,0.0021295,0.0047419,0.013515,0.0087456,0.0047689,0.15,71.0,0.30104,0.0011653,0.0029256,0.0079748,0.0053306,0.0026442,0.25,71.0,0.30104
104,1.03,0.0027966,0.00606,0.017493,0.01123,0.0062629,0.1,71.0,0.30104,0.0021047,0.004697,0.013375,0.0086588,0.0047158,0.15,71.0,0.30104,0.0011503,0.0028908,0.0078732,0.0052628,0.0026104,0.25,71.0,0.30104
