,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
58,0.5700000000000001,0.021599,0.03311,0.1092,0.063385,0.04581,0.043,350.0,0.224,0.017171,0.027184,0.088437,0.051861,0.036576,0.065,350.0,0.224,0.010622,0.018403,0.057686,0.034778,0.022908,0.133,350.0,0.224,999.0
59,0.58,0.021256,0.032721,0.10773,0.062619,0.045115,0.043,350.0,0.224,0.01688,0.026836,0.087162,0.05118,0.035982,0.065,350.0,0.224,0.010408,0.018114,0.056687,0.034221,0.022466,0.133,350.0,0.224,999.0
60,0.59,0.020915,0.032334,0.10628,0.061856,0.044423,0.043,350.0,0.224,0.01659,0.02649,0.085895,0.050504,0.035392,0.065,350.0,0.224,0.010197,0.017827,0.055698,0.033669,0.022028,0.133,350.0,0.224,999.0
61,0.6,0.020574,0.031948,0.10483,0.061097,0.043733,0.043,350.0,0.224,0.016302,0.026146,0.084635,0.049831,0.034804,0.065,350.0,0.224,0.009987,0.017544,0.054718,0.033123,0.021594,0.133,350.0,0.224,999.0
62,0.61,0.020235,0.031564,0.10339,0.060341,0.043045,0.043,350.0,0.224,0.016015,0.025805,0.083382,0.049163,0.034219,0.065,350.0,0.224,0.0097789,0.017264,0.053747,0.032583,0.021164,0.133,350.0,0.224,999.0
63,0.62,0.019897,0.031182,0.10195,0.059588,0.042359,0.043,350.0,0.224,0.015729,0.025466,0.082136,0.048499,0.033637,0.065,350.0,0.224,0.0095725,0.016987,0.052786,0.032048,0.020737,0.133,350.0,0.224,999.0
64,0.63,0.01956,0.030801,0.10052,0.058839,0.041676,0.043,350.0,0.224,0.015445,0.025128,0.080897,0.047839,0.033058,0.065,350.0,0.224,0.0093678,0.016712,0.051834,0.031519,0.020314,0.133,350.0,0.224,999.0
65,0.64,0.019224,0.030422,0.099089,0.058093,0.040996,0.043,350.0,0.224,0.015162,0.024793,0.079664,0.047183,0.032481,0.065,350.0,0.224,0.0091647,0.016441,0.05089,0.030996,0.019895,0.133,350.0,0.224,999.0
66,0.65,0.018889,0.030045,0.097667,0.05735,0.040317,0.043,350.0,0.224,0.01488,0.02446,0.078438,0.046531,0.031907,0.065,350.0,0.224,0.0089631,0.016172,0.049956,0.030477,0.019478,0.133,350.0,0.224,999.0
67,0.66,0.018555,0.029669,0.09625,0.05661,0.039641,0.043,350.0,0.224,0.0146,0.024129,0.077218,0.045882,0.031336,0.065,350.0,0.224,0.008763,0.015906,0.049029,0.029964,0.019065,0.133,350.0,0.224,999.0
68,0.67,0.018222,0.029295,0.094839,0.055873,0.038966,0.043,350.0,0.224,0.01432,0.0238,0.076004,0.045237,0.030767,0.065,350.0,0.224,0.0085645,0.015643,0.048111,0.029456,0.018656,0.133,350.0,0.224,999.0
69,0.68,0.01789,0.028923,0.093433,0.055139,0.038294,0.043,350.0,0.224,0.014042,0.023473,0.074797,0.044597,0.030201,0.065,350.0,0.224,0.0083674,0.015383,0.047201,0.028952,0.018249,0.133,350.0,0.224,999.0
