Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
38,0.37,0.003907218774649021,0.014902009734138234,0.03493383462600523,0.0259257395927433,0.009008095033261936,0.15,70.0,0.147,0.0029036455327981245,0.012349572750110192,0.028336873289281857,0.02138128528728728,0.006955588001994574,0.18,70.0,0.147,0.0019884696622543005,0.009591732885220975,0.020934090329594923,0.01621758441553149,0.0047165059140634345,0.25,70.0,0.147,0.99
39,0.38,0.003476784663434261,0.015033460320044276,0.034281237733124255,0.025968792578312826,0.00831244515481143,0.15,70.0,0.147,0.0028326127500518873,0.012255118122675575,0.02799479333749624,0.02126675241367739,0.006728040923818844,0.18,70.0,0.147,0.0018503282303339878,0.009543110901390628,0.02053216887426217,0.016080364711046957,0.004451804163215208,0.25,70.0,0.147,0.99
40,0.39,0.0037345878271271243,0.014726590583501781,0.03430425709991436,0.02566858567470279,0.008635671425211574,0.15,70.0,0.147,0.0029155813128365535,0.012199279825863362,0.028099838508258024,0.0212744348644401,0.006825403643817921,0.18,70.0,0.147,0.0018169824467616233,0.009535804133440176,0.02047070963344376,0.01614804294375164,0.004322666689692115,0.25,70.0,0.147,0.99
41,0.4,0.0036462846591865843,0.014774338915115082,0.034191972529904836,0.025637598849111872,0.008554373680792968,0.15,70.0,0.147,0.0029283752899825297,0.011900569571623155,0.027589317594777958,0.020686159980975366,0.006903157613802593,0.18,70.0,0.147,0.0016999173333011998,0.009439926032642204,0.019948755463381606,0.015901654033976902,0.004047101429404699,0.25,70.0,0.147,0.99
42,0.41,0.0037095747654086932,0.014556574801408793,0.03389514352026697,0.025292579538028135,0.008602563982238846,0.15,70.0,0.147,0.0027321723728681263,0.012000205510376305,0.027263597592498343,0.02076670887252122,0.0064968887199771215,0.18,70.0,0.147,0.0018752057329277769,0.00920793571761086,0.01997330703066333,0.015530698864537127,0.004442608166126201,0.25,70.0,0.147,0.99
43,0.42,0.0036348607622262636,0.014295119425782325,0.03335814914901255,0.02485118127977105,0.008506967869241497,0.15,70.0,0.147,0.002965406897001569,0.011716611553939051,0.027358122511873393,0.02042688409427521,0.006931238417598179,0.18,70.0,0.147,0.0018302515829670548,0.00920826002885507,0.019842550283299783,0.015544891103753903,0.004297659179545885,0.25,70.0,0.147,0.99
44,0.43,0.003643316919485594,0.014333062644904923,0.033252548011415334,0.024750934129266114,0.008501613882149216,0.15,70.0,0.147,0.002811988042655348,0.011692680596508366,0.026971184930298996,0.020289028422381575,0.0066821565079174215,0.18,70.0,0.147,0.0016039786414357732,0.009291679249420995,0.019493460735020587,0.015620022798586848,0.0038734379364337365,0.25,70.0,0.147,0.99
45,0.44,0.003579744541649837,0.014306496700875908,0.033097128413951585,0.02472327040103006,0.008373858012921523,0.15,70.0,0.147,0.0028589114454833416,0.01155552441821594,0.026840231309676915,0.020115499199871302,0.006724732109805615,0.18,70.0,0.147,0.0017354161865479809,0.009084828702564595,0.019400227884236055,0.015289152998576371,0.004111074885659689,0.25,70.0,0.147,0.99
46,0.45,0.0035315779882790286,0.014174885439569084,0.03285755927426097,0.024629115607787327,0.008228443666473646,0.15,70.0,0.147,0.002797280251890268,0.011444709583431807,0.026490390568668937,0.0198879791870839,0.0066024113815850395,0.18,70.0,0.147,0.0018072936939339782,0.008930621001836054,0.019363712234415967,0.01506540560392797,0.004298306630487995,0.25,70.0,0.147,0.99
47,0.46,0.0033508286832241267,0.014242412142739372,0.03254545572543108,0.02466753302360218,0.007877922701828898,0.15,70.0,0.147,0.0026138425153840114,0.011602702396093515,0.02633342994395858,0.020066457502211317,0.006266972441747264,0.18,70.0,0.147,0.0017688195082738991,0.008835044563947644,0.01908133031402793,0.014934694387475269,0.004146635926552659,0.25,70.0,0.147,0.99
