,depths,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0
176,1.75,0.027071,0.036425,0.12653,0.070389,0.056139,0.05,250.0,0.525
177,1.76,0.026889,0.03618,0.12568,0.069915,0.055761,0.05,250.0,0.525
178,1.77,0.026708,0.035936,0.12483,0.069443,0.055385,0.05,250.0,0.525
179,1.78,0.026528,0.035694,0.12399,0.068976,0.055012,0.05,250.0,0.525
180,1.79,0.026349,0.035453,0.12315,0.068511,0.054642,0.05,250.0,0.525
181,1.8,0.026171,0.035215,0.12232,0.068049,0.054273,0.05,250.0,0.525
182,1.81,0.025995,0.034977,0.1215,0.067591,0.053908,0.05,250.0,0.525
183,1.82,0.02582,0.034742,0.12068,0.067136,0.053545,0.05,250.0,0.525
184,1.83,0.025646,0.034508,0.11987,0.066683,0.053184,0.05,250.0,0.525
185,1.84,0.025473,0.034275,0.11906,0.066234,0.052826,0.05,250.0,0.525
186,1.85,0.025302,0.034044,0.11826,0.065788,0.05247,0.05,250.0,0.525
187,1.86,0.025131,0.033815,0.11746,0.065345,0.052116,0.05,250.0,0.525
188,1.87,0.024962,0.033587,0.11667,0.064905,0.051765,0.05,250.0,0.525
189,1.8800000000000001,0.024794,0.033361,0.11588,0.064467,0.051416,0.05,250.0,0.525
190,1.8900000000000001,0.024627,0.033136,0.1151,0.064033,0.05107,0.05,250.0,0.525
191,1.9000000000000001,0.024461,0.032913,0.11433,0.063602,0.050726,0.05,250.0,0.525
192,1.9100000000000001,0.024296,0.032691,0.11356,0.063173,0.050384,0.05,250.0,0.525
193,1.92,0.024132,0.032471,0.11279,0.062747,0.050045,0.05,250.0,0.525
194,1.93,0.02397,0.032252,0.11203,0.062325,0.049708,0.05,250.0,0.525
195,1.94,0.023808,0.032035,0.11128,0.061905,0.049373,0.05,250.0,0.525
196,1.95,0.023648,0.031819,0.11053,0.061488,0.04904,0.05,250.0,0.525
197,1.96,0.023489,0.031605,0.10978,0.061073,0.04871,0.05,250.0,0.525
198,1.97,0.02333,0.031392,0.10904,0.060662,0.048382,0.05,250.0,0.525
199,1.98,0.023173,0.03118,0.10831,0.060253,0.048056,0.05,250.0,0.525
200,1.99,0.023017,0.03097,0.10758,0.059848,0.047732,0.05,250.0,0.525
201,2.0,0.022862,0.030762,0.10685,0.059444,0.04741,0.05,250.0,0.525
202,2.0100000000000002,0.022708,0.030554,0.10613,0.059044,0.047091,0.05,250.0,0.525
203,2.02,0.022555,0.030348,0.10542,0.058646,0.046774,0.05,250.0,0.525
204,2.0300000000000002,0.022403,0.030144,0.10471,0.058251,0.046459,0.05,250.0,0.525
205,2.04,0.022252,0.029941,0.104,0.057859,0.046146,0.05,250.0,0.525
206,2.05,0.022102,0.029739,0.1033,0.057469,0.045835,0.05,250.0,0.525
207,2.06,0.021953,0.029539,0.10261,0.057081,0.045526,0.05,250.0,0.525
208,2.07,0.021805,0.02934,0.10192,0.056697,0.045219,0.05,250.0,0.525
209,2.08,0.021658,0.029142,0.10123,0.056315,0.044915,0.05,250.0,0.525
210,2.09,0.021513,0.028946,0.10055,0.055936,0.044612,0.05,250.0,0.525
211,2.1,0.021368,0.028751,0.09987,0.055559,0.044311,0.05,250.0,0.525
212,2.11,0.021224,0.028557,0.099197,0.055184,0.044013,0.05,250.0,0.525
213,2.12,0.021081,0.028365,0.098529,0.054813,0.043716,0.05,250.0,0.525
214,2.13,0.020939,0.028174,0.097865,0.054444,0.043422,0.05,250.0,0.525
