,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
77,0.76,0.014328,0.025731,0.079694,0.048543,0.03115,0.043,350.0,1.2985,0.011193,0.02087,0.063623,0.039191,0.024432,0.065,350.0,1.2985,0.0065381,0.013618,0.039685,0.025235,0.01445,0.133,350.0,1.2985,999.0
78,0.77,0.01403,0.025399,0.078435,0.04789,0.030545,0.043,350.0,1.2985,0.010945,0.020582,0.06255,0.038625,0.023924,0.065,350.0,1.2985,0.006365,0.013392,0.038891,0.024801,0.01409,0.133,350.0,1.2985,999.0
79,0.78,0.013733,0.025069,0.077177,0.047238,0.029939,0.043,350.0,1.2985,0.010698,0.020294,0.061478,0.038061,0.023416,0.065,350.0,1.2985,0.0061926,0.013169,0.038098,0.024369,0.013729,0.133,350.0,1.2985,999.0
80,0.79,0.013437,0.024739,0.075919,0.046587,0.029332,0.043,350.0,1.2985,0.010451,0.020008,0.060406,0.037499,0.022907,0.065,350.0,1.2985,0.0060208,0.012947,0.037307,0.02394,0.013368,0.133,350.0,1.2985,999.0
81,0.8,0.013146,0.024416,0.074678,0.045946,0.028732,0.043,250.0,0.9275,0.010209,0.019727,0.059347,0.036945,0.022402,0.065,250.0,0.9275,0.0058525,0.012729,0.03652,0.023514,0.013007,0.133,250.0,0.9275,999.0
82,0.81,0.012938,0.024176,0.073775,0.045468,0.028307,0.043,250.0,0.9275,0.010038,0.019517,0.058576,0.036527,0.022049,0.065,250.0,0.9275,0.0057356,0.012564,0.035947,0.023187,0.012761,0.133,250.0,0.9275,999.0
83,0.8200000000000001,0.012731,0.023937,0.072878,0.044994,0.027884,0.043,250.0,0.9275,0.0098675,0.019309,0.057812,0.036115,0.021698,0.065,250.0,0.9275,0.0056195,0.0124,0.035384,0.022867,0.012517,0.133,250.0,0.9275,999.0
84,0.8300000000000001,0.012524,0.0237,0.071985,0.044523,0.027462,0.043,250.0,0.9275,0.0096974,0.019101,0.057054,0.035706,0.021348,0.065,250.0,0.9275,0.0055042,0.012238,0.034828,0.022552,0.012276,0.133,250.0,0.9275,999.0
85,0.84,0.012318,0.023463,0.071096,0.044055,0.027041,0.043,250.0,0.9275,0.009528,0.018895,0.0563,0.0353,0.020999,0.065,250.0,0.9275,0.0053895,0.012077,0.034276,0.02224,0.012036,0.133,250.0,0.9275,999.0
86,0.85,0.012112,0.023227,0.07021,0.043589,0.026621,0.043,250.0,0.9275,0.009359,0.01869,0.055549,0.034897,0.020652,0.065,250.0,0.9275,0.0052755,0.011918,0.03373,0.021932,0.011798,0.133,250.0,0.9275,999.0
87,0.86,0.011907,0.022991,0.069327,0.043124,0.026202,0.043,250.0,0.9275,0.0091905,0.018486,0.054802,0.034496,0.020305,0.065,250.0,0.9275,0.005162,0.01176,0.033187,0.021627,0.01156,0.133,250.0,0.9275,999.0
88,0.87,0.011702,0.022757,0.068445,0.042662,0.025784,0.043,250.0,0.9275,0.0090226,0.018282,0.054057,0.034097,0.01996,0.065,250.0,0.9275,0.0050491,0.011604,0.032648,0.021324,0.011324,0.133,250.0,0.9275,999.0
89,0.88,0.011497,0.022523,0.067566,0.042201,0.025366,0.043,250.0,0.9275,0.008855,0.01808,0.053315,0.0337,0.019614,0.065,250.0,0.9275,0.0049367,0.011448,0.032113,0.021024,0.011089,0.133,250.0,0.9275,999.0
90,0.89,0.011293,0.02229,0.066689,0.041741,0.024948,0.043,250.0,0.9275,0.0086878,0.017878,0.052575,0.033305,0.01927,0.065,250.0,0.9275,0.0048247,0.011294,0.031581,0.020727,0.010854,0.133,250.0,0.9275,999.0
91,0.9,0.011089,0.022058,0.065814,0.041283,0.024531,0.043,250.0,0.9275,0.0085211,0.017677,0.051838,0.032912,0.018926,0.065,250.0,0.9275,0.0047133,0.011141,0.031052,0.020432,0.01062,0.133,250.0,0.9275,999.0
92,0.91,0.010886,0.021826,0.06494,0.040826,0.024114,0.043,250.0,0.9275,0.0083546,0.017478,0.051102,0.03252,0.018582,0.065,250.0,0.9275,0.0046022,0.010989,0.030525,0.020138,0.010386,0.133,250.0,0.9275,999.0
93,0.92,0.010683,0.021595,0.064067,0.04037,0.023697,0.043,250.0,0.9275,0.0081886,0.017279,0.050368,0.03213,0.018238,0.065,250.0,0.9275,0.0044915,0.010838,0.03,0.019847,0.010153,0.133,250.0,0.9275,999.0
94,0.93,0.01048,0.021365,0.063195,0.039915,0.02328,0.043,250.0,0.9275,0.0080228,0.01708,0.049636,0.031741,0.017895,0.065,250.0,0.9275,0.0043812,0.010688,0.029478,0.019558,0.0099196,0.133,250.0,0.9275,999.0
95,0.9400000000000001,0.010277,0.021135,0.062324,0.039462,0.022862,0.043,250.0,0.9275,0.0078573,0.016883,0.048904,0.031353,0.017551,0.065,250.0,0.9275,0.0042712,0.010539,0.028957,0.019271,0.0096859,0.133,250.0,0.9275,999.0
96,0.9500000000000001,0.010074,0.020906,0.061453,0.039009,0.022444,0.043,250.0,0.9275,0.007692,0.016686,0.048173,0.030967,0.017206,0.065,250.0,0.9275,0.0041615,0.010391,0.028436,0.018985,0.0094517,0.133,250.0,0.9275,999.0
97,0.96,0.0098716,0.020677,0.060582,0.038557,0.022025,0.043,250.0,0.9275,0.0075269,0.01649,0.047441,0.030581,0.01686,0.065,250.0,0.9275,0.004052,0.010244,0.027916,0.0187,0.0092163,0.133,250.0,0.9275,999.0
98,0.97,0.0096693,0.020449,0.059709,0.038105,0.021605,0.043,250.0,0.9275,0.0073619,0.016294,0.046709,0.030196,0.016513,0.065,250.0,0.9275,0.0039426,0.010098,0.027396,0.018416,0.0089791,0.133,250.0,0.9275,999.0
99,0.98,0.0094669,0.020221,0.058835,0.037653,0.021182,0.043,250.0,0.9275,0.007197,0.016099,0.045974,0.029811,0.016162,0.065,250.0,0.9275,0.0038332,0.0099527,0.026872,0.018133,0.0087389,0.133,250.0,0.9275,999.0
100,0.99,0.0092644,0.019994,0.057955,0.037201,0.020754,0.043,250.0,0.9275,0.0070319,0.015905,0.045233,0.029426,0.015807,0.065,250.0,0.9275,0.0037238,0.0098078,0.026343,0.01785,0.0084933,0.133,250.0,0.9275,999.0
101,1.0,0.0090674,0.019771,0.05708,0.036753,0.020327,0.043,110.0,0.4081,0.0068683,0.015708,0.044464,0.029023,0.01544,0.065,110.0,0.4081,0.0036161,0.0096631,0.025793,0.017556,0.0082366,0.133,110.0,0.4081,999.0
102,1.01,0.0089831,0.019662,0.056677,0.036527,0.02015,0.043,110.0,0.4081,0.0068014,0.015612,0.044124,0.028826,0.015298,0.065,110.0,0.4081,0.003574,0.0095868,0.025538,0.017395,0.0081425,0.133,110.0,0.4081,999.0
103,1.02,0.0088991,0.019554,0.056281,0.036307,0.019975,0.043,110.0,0.4081,0.0067347,0.015517,0.043789,0.028632,0.015157,0.065,110.0,0.4081,0.0035324,0.0095114,0.025292,0.017241,0.0080507,0.133,110.0,0.4081,999.0
104,1.03,0.0088155,0.019446,0.055889,0.036089,0.0198,0.043,110.0,0.4081,0.0066684,0.015422,0.043457,0.028441,0.015016,0.065,110.0,0.4081,0.003491,0.0094366,0.02505,0.01709,0.0079601,0.133,110.0,0.4081,999.0
105,1.04,0.008732,0.019339,0.0555,0.035873,0.019627,0.043,110.0,0.4081,0.0066023,0.015328,0.043129,0.028252,0.014877,0.065,110.0,0.4081,0.00345,0.0093624,0.024812,0.016942,0.0078706,0.133,110.0,0.4081,999.0
